Name,Team,GP,Cap
Sergei Bobrovsky,FLA,50,10000000.0
Andrei Vasilevskiy,TBL,60,9500000.0
John Gibson,ANA,53,6400000.0
Matt Murray,TOR,26,6250000.0
Connor Hellebuyck,WPG,64,6166666.0
Jordan Binnington,STL,61,6000000.0
Jacob Markstrom,CGY,59,6000000.0
Philipp Grubauer,SEA,39,5900000.0
Jonathan Quick,LAK,41,5800000.0
Igor Shesterkin,NYR,58,5666667.0
Elvis Merzlikins,CBJ,30,5400000.0
Darcy Kuemper,WSH,57,5250000.0
Jack Campbell,EDM,36,5000000.0
Cal Petersen,PHI,10,5000000.0
Juuse Saros,NSH,64,5000000.0
Linus Ullmark,BOS,49,5000000.0
Thatcher Demko,VAN,32,5000000.0
Semyon Varlamov,NYI,23,5000000.0
Ville Husso,DET,56,4750000.0
Frederik Andersen,CAR,34,4500000.0
Jake Oettinger,DAL,62,4000000.0
Ilya Sorokin,NYI,62,4000000.0
Carter Hart,PHI,55,3979000.0
Petr Mrazek,CHI,39,3800000.0
Cam Talbot,OTT,36,3666667.0
Marc-Andre Fleury,MIN,46,3500000.0
Tristan Jarry,PIT,47,3500000.0
Vitek Vanecek,NJD,52,3400000.0
Alexandar Georgiev,COL,62,3400000.0
Anton Khudobin,DAL,1,3333333.0
Alex Nedeljkovic,PIT,15,3000000.0
Jake Allen,MTL,42,2875000.0
Mackenzie Blackwood,SJS,22,2800000.0
Kaapo Kahkonen,SJS,37,2750000.0
Anton Forsberg,OTT,28,2750000.0
Karel Vejmelka,ARI,50,2725000.0
Laurent Brossoit,VGK,11,2325000.0
James Reimer,SJS,43,2250000.0
Adin Hill,VGK,27,2175000.0
Martin Jones,SEA,48,2000000.0
Pavel Francouz,COL,16,2000000.0
Antti Raanta,CAR,27,2000000.0
Eric Comrie,BUF,19,1800000.0
Ilya Samsonov,TOR,42,1800000.0
Casey DeSmith,PIT,38,1800000.0
Kevin Lankinen,NSH,19,1500000.0
Jaroslav Halak,NYR,25,1500000.0
Craig Anderson,BUF,26,1500000.0
Joonas Korpisalo,LAK,39,1300000.0
Thomas Greiss,STL,21,1250000.0
Charlie Lindgren,WSH,31,1100000.0
Daniil Tarasov,CBJ,17,1050000.0
Sam Montembeault,MTL,40,1000000.0
Scott Wedgewood,DAL,21,1000000.0
Anthony Stolarz,ANA,19,950000.0
Devon Levi,BUF,7,925000.0
Yaroslav Askarov,NSH,1,925000.0
Mads Sogaard,OTT,19,925000.0
Spencer Knight,FLA,21,925000.0
Jeremy Swayman,BOS,37,925000.0
David Rittich,WPG,21,900000.0
Brian Elliott,TBL,22,900000.0
Cayden Primeau,MTL,3,890000.0
Jaxson Stauber,CHI,6,883750.0
Arvid Soderblom,CHI,15,883750.0
Justus Annunen,COL,2,880833.0
Eetu Makiniemi,SJS,2,867500.0
Samuel Ersson,PHI,12,859167.0
Akira Schmid,NJD,18,850833.0
Pyotr Kochetkov,CAR,24,842500.0
Ukko-Pekka Luukkonen,BUF,33,837500.0
Kevin Mandolese,OTT,3,835000.0
Pheonix Copley,LAK,37,825000.0
Lukas Dostal,ANA,19,822500.0
Leevi Merilainen,OTT,2,820000.0
Dustin Wolf,CGY,1,813333.0
Jiri Patera,VGK,2,800000.0
Joel Hofer,STL,6,795000.0
Filip Gustavsson,MIN,39,787500.0
Arturs Silovs,VAN,5,786111.0
Aaron Dell,SJS,4,775000.0
Dustin Tokarski,BUF,4,775000.0
Felix Sandstrom,PHI,20,775000.0
Joseph Woll,TOR,7,766667.0
Logan Thompson,VGK,37,766667.0
Spencer Martin,VAN,29,762500.0
Jet Greaves,CBJ,1,758333.0
Dylan Ferguson,OTT,2,750000.0
Dylan Wells,NSH,1,750000.0
Matt Murray,DAL,3,750000.0
Olle Eriksson Ek,ANA,1,750000.0
Collin Delia,VAN,20,750000.0
Michael Hutchinson,VGK,16,750000.0
Jon Gillies,ARI,3,750000.0
Alex Lyon,DET,15,750000.0
Magnus Hellberg,SEA,18,750000.0
Keith Kinkaid,NJD,2,750000.0
Jonas Johansson,COL,3,750000.0
Alex Stalock,ANA,27,750000.0
Ivan Prosvetov,ARI,7,750000.0
Stuart Skinner,EDM,50,750000.0
Erik Kallgren,TOR,10,750000.0
Joey Daccord,SEA,5,750000.0
Dan Vladar,CGY,27,750000.0
Connor Ingram,ARI,27,733333.0
